"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,phase_2a,,text,"<font color=""red"">Record ID</font>",,,,,,y,,,,,,,
current_dog_p2_2a,phase_2a,"<center>More About [event_1_arm_1][dog_name_1a]</center>",descriptive,"<center>Thank you for participating in our treatment study. The more people who participate, the better. The larger that number the more significant the data and our findings will be. We can't do it without you!

Please press ""Next"" when you are ready to begin the follow-up survey for [event_1_arm_1][dog_name_1a].</center>",,,,,,,,,,,,,
prof_help_2a,phase_2a,"<center>From Whom Did You Seek Advice</center>",yesno,"Have you ever sough professional help in an attempt to deal with the problematic behavior of [event_1_arm_1][dog_name_1a]?",,,,,,,,,RH,,,,
prof_type_2a,phase_2a,,checkbox,"What type of professional did you consult?
<font size=1 color=""blue"">Check all that apply</font>","3, Veterinarian, DVM (for help other than health issues) | 1, Dog trainer | 2, Dog behavior consultant",,,,,,"[prof_help_2a] = '1'",,LV,,,,
prof_score_2a,phase_2a,,calc,"<font color=""red"">[Internal] professional sum:</font>","[prof_type_2a(1)] + [prof_type_2a(2)] + [prof_type_2a(3)]",,,,,,,,RH,,,,@HIDDEN
prof_discover_2a,phase_2a,<center>Veterinarians</center>,yesno,"Did the veterinarian discover any medical issue that might be relevant to the behavior of [event_1_arm_1][dog_name_1a]?
(e.g., a thyroid problem, seizures, pain)",,,,,,,"[prof_type_2a(3)] = '1'",,RH,,,,
health_iss_2a,phase_2a,,checkbox,"Which of the following health issues were found?
<font size=1 color=""blue"">Check all that apply</font>
","1, Thyroid problem | 2, Seizures | 3, Pain | 4, Tumor | 5, Cognitive dysfunction | 6, Other",,,,,,"[prof_discover_2a] = '1'",,LV,,,,
heath_oth_2a,phase_2a,,notes,"Please explain other health issue:",,,,,,,"[health_iss_2a(6)] = '1'",,LV,,,,
trainer_mult_2a,phase_2a,<center>Trainers</center>,yesno,"Have you seen multiple dog trainers for [event_1_arm_1][dog_name_1a]?",,,,,,,"[prof_type_2a(1)] = '1' ",,RH,,,,
trainer_count_2a,phase_2a,,text,"How many dog trainers would you say you have consulted for [event_1_arm_1][dog_name_1a]?",,,number,,,,"[trainer_mult_2a] = '1'",,RH,,,,
